ID,Sex,PC,YearTagged,DateTagged,DamGenID,DamSource,SireGenID,SireSource,BirthDate,TimeToRecovery,Domestication_Index,DamID,SireID
YA30,F,1,2021,1/25/21,140011,captive,140012,captive,1/28/20,51.85714286,8.7112,YC26,YR07
YA05,F,2,2021,1/14/21,140021,captive,140022,captive,1/28/20,50.28571429,9.15845,YJ23,YA08
YA07,F,2,2021,1/14/21,140021,captive,140022,captive,1/28/20,50.28571429,9.15845,YJ23,YA08
YA33,F,3,2021,1/25/21,140031,captive,140032,captive,1/28/20,51.85714286,8.0542,YL14,YB13
YA36,F,3,2021,1/25/21,140031,captive,140032,captive,1/28/20,51.85714286,8.0542,YL14,YB13
YA37,F,3,2021,1/25/21,140031,captive,140032,captive,1/28/20,51.85714286,8.0542,YL14,YB13
YA39,F,4,2021,1/25/21,140041,captive,140042,captive,1/28/20,51.85714286,7.90235,YL16,YA06
YA48,F,5,2021,2/3/21,140051,captive,140052,captive,1/28/20,53.14285714,8.6111,YO07,YA04
YA42,F,6,2021,2/3/21,140061,captive,140062,captive,1/28/20,53.14285714,8.32445,YR00,YT00
YA45,F,6,2021,2/3/21,140061,captive,140062,captive,1/28/20,53.14285714,8.32445,YR00,YT00
YA81,F,6,2021,2/17/21,140061,captive,140062,captive,1/28/20,55.14285714,8.32445,YR00,YT00
YB34,F,7,2021,1/25/21,140071,captive,140072,captive,1/28/20,51.85714286,8.51905,YS03,YA00
YA31,F,8,2021,1/25/21,140081,captive,140082,captive,1/28/20,51.85714286,9.36405,YB01,YB18
YA03,F,8,2021,1/14/21,140081,captive,140082,captive,1/28/20,50.28571429,9.36405,YB01,YB18
YA32,F,9,2021,1/25/21,140091,captive,140092,captive,1/28/20,51.85714286,9.5444,YN01,YC08
YB10,F,9,2021,1/14/21,140091,captive,140092,captive,1/28/20,50.28571429,9.5444,YN01,YC08
YB63,F,9,2021,2/9/21,140091,captive,140092,captive,1/28/20,54,9.5444,YN01,YC08
YB15,F,10,2021,1/14/21,140101,captive,140102,captive,1/31/20,49.85714286,7.83175,YK02,YB27
YB38,F,10,2021,1/25/21,140101,captive,140102,captive,1/31/20,51.42857143,7.83175,YK02,YB27
YB11,F,10,2021,1/14/21,140101,captive,140102,captive,1/31/20,49.85714286,7.83175,YK02,YB27
YB68,F,11,2021,2/9/21,140111,captive,140112,captive,1/31/20,53.57142857,8.25905,YN04,YC15
YB67,F,11,2021,2/9/21,140111,captive,140112,captive,1/31/20,53.57142857,8.25905,YN04,YC15
YB39,F,12,2021,1/25/21,140121,captive,140122,captive,1/31/20,51.42857143,7.6609,YO06,YS01
YB17,F,12,2021,1/14/21,140121,captive,140122,captive,1/31/20,49.85714286,7.6609,YO06,YS01
YB60,F,13,2021,2/3/21,140131,captive,140132,captive,1/31/20,52.71428571,5.6599,YP06,YD11
YB62,F,13,2021,2/9/21,140131,captive,140132,captive,1/31/20,53.57142857,5.6599,YP06,YD11
YB61,F,15,2021,2/3/21,140151,captive,140152,captive,2/4/20,52.14285714,8.04415,YD24,OF04
YB37,F,16,2021,1/25/21,140161,captive,140162,captive,2/4/20,50.85714286,6.8867,YG31,YJ44
YB31,F,16,2021,1/25/21,140161,captive,140162,captive,2/4/20,50.85714286,6.8867,YG31,YJ44
YB40,F,16,2021,1/25/21,140161,captive,140162,captive,2/4/20,50.85714286,6.8867,YG31,YJ44
YB64,F,17,2021,2/9/21,140171,captive,140172,wild,2/4/20,53,3.34865,YJ35,RZ00
YB82,F,17,2021,2/17/21,140171,captive,140172,wild,2/4/20,54.14285714,3.34865,YJ35,RZ00
YB70,F,17,2021,2/9/21,140171,captive,140172,wild,2/4/20,53,3.34865,YJ35,RZ00
YC25,F,18,2021,1/25/21,140181,captive,140182,captive,2/4/20,50.85714286,8.646,YL29,YA39
YC73,F,19,2021,2/9/21,140191,captive,140192,captive,2/4/20,53,9.06495,YP05,YC00
YC29,F,20,2021,1/25/21,140201,captive,140202,captive,2/4/20,50.85714286,7.4883,YD37,YG44
YC11,F,21,2021,1/14/21,140211,captive,140212,captive,2/4/20,49.28571429,9.04465,YH38,YC07
YC10,F,21,2021,1/14/21,140211,captive,140212,captive,2/4/20,49.28571429,9.04465,YH38,YC07
YC15,F,22,2021,1/14/21,140221,captive,140222,captive,2/4/20,49.28571429,7.27125,YH41,YJ14
YC17,F,22,2021,1/14/21,140221,captive,140222,captive,2/4/20,49.28571429,7.27125,YH41,YJ14
YC20,F,23,2021,1/25/21,140231,captive,140232,captive,2/7/20,50.42857143,7.2744,YC24,YI23
YC19,F,23,2021,1/14/21,140231,captive,140232,captive,2/7/20,48.85714286,7.2744,YC24,YI23
YC74,F,23,2021,2/17/21,140231,captive,140232,captive,2/7/20,53.71428571,7.2744,YC24,YI23
YC22,F,24,2021,1/25/21,140241,captive,140242,captive,2/7/20,50.42857143,9.0198,YF29,YI12
YC26,F,24,2021,1/25/21,140241,captive,140242,captive,2/7/20,50.42857143,9.0198,YF29,YI12
YD38,F,25,2021,1/25/21,140251,captive,140252,captive,2/7/20,50.42857143,8.91995,YF32,YI17
YD00,F,26,2021,1/14/21,140261,captive,140262,captive,2/7/20,48.85714286,8.60595,YG30,YD07
YD69,F,26,2021,2/17/21,140261,captive,140262,captive,2/7/20,53.71428571,8.60595,YG30,YD07
YD37,F,27,2021,1/25/21,140271,captive,140272,captive,2/7/20,50.42857143,9.6255,YH34,YF04
YD34,F,27,2021,1/25/21,140271,captive,140272,captive,2/7/20,50.42857143,9.6255,YH34,YF04
YD92,F,28,2021,3/2/21,140281,captive,140282,captive,2/7/20,55.57142857,7.98925,OA00,YB44
YD40,F,29,2021,2/3/21,140291,captive,140292,wild,2/11/20,51.14285714,4.9541,YJ51,RZ17
YD76,F,29,2021,2/17/21,140291,captive,140292,wild,2/11/20,53.14285714,4.9541,YJ51,RZ17
YD03,F,31,2021,1/14/21,140311,captive,140312,captive,2/14/20,47.85714286,9.13085,YA64,YX00
YD93,F,32,2021,3/2/21,140321,captive,140322,wild,2/14/20,54.57142857,5.0852,YD42,RZ20
YD45,F,32,2021,2/3/21,140321,captive,140322,wild,2/14/20,50.71428571,5.0852,YD42,RZ20
YG78,F,32,2021,3/24/21,140321,captive,140322,wild,2/14/20,57.71428571,5.0852,YD42,RZ20
YF26,F,33,2021,2/3/21,140331,captive,140332,captive,2/14/20,50.71428571,7.26245,YD20,YJ59
YF53,F,33,2021,2/17/21,140331,captive,140332,captive,2/14/20,52.71428571,7.26245,YD20,YJ59
YF86,F,33,2021,3/24/21,140331,captive,140332,captive,2/14/20,57.71428571,7.26245,YD20,YJ59
YF28,F,34,2021,2/3/21,140341,captive,140342,captive,2/14/20,50.71428571,7.4873,YD19,OG00
YF66,F,34,2021,3/2/21,140341,captive,140342,captive,2/14/20,54.57142857,7.4873,YD19,OG00
YF33,F,36,2021,2/9/21,140361,captive,140362,captive,2/14/20,51.57142857,8.365,YK06,YF05
YF73,F,37,2021,3/2/21,140371,captive,140372,captive,2/14/20,54.57142857,8.75295,YF40,YJ09
YG31,F,39,2021,2/9/21,140391,wild,140392,captive,2/18/20,51,3.9021,RZ07,YJ43
YG77,F,39,2021,3/24/21,140391,wild,140392,captive,2/18/20,57.14285714,3.9021,RZ07,YJ43
YG24,F,41,2021,1/25/21,140411,captive,140412,captive,2/18/20,48.85714286,8.5686,YA35,YF08
YG10,F,41,2021,1/15/21,140411,captive,140412,captive,2/18/20,47.42857143,8.5686,YA35,YF08
YG62,F,41,2021,3/2/21,140411,captive,140412,captive,2/18/20,54,8.5686,YA35,YF08
YG58,F,42,2021,3/2/21,140421,captive,140422,wild,2/18/20,54,5.13625,YB29,RZ19
YH57,F,43,2021,2/17/21,140431,captive,140432,wild,2/18/20,52.14285714,4.3877,YF23,RZ21
YG61,F,43,2021,3/2/21,140431,captive,140432,wild,2/18/20,54,4.3877,YF23,RZ21
YG64,F,43,2021,3/2/21,140431,captive,140432,wild,2/18/20,54,4.3877,YF23,RZ21
YG57,F,44,2021,3/2/21,140441,captive,140442,captive,2/18/20,54,7.67065,YH24,YA82
YH75,F,46,2021,3/2/21,140461,captive,140462,captive,2/18/20,54,8.62695,YI07,YK19
YH10,F,47,2021,1/19/21,140471,captive,140472,captive,2/18/20,48,8.67605,YI05,YG00
YH14,F,49,2021,1/19/21,140491,captive,140492,captive,2/18/20,48,8.3362,YI22,YP02
YH13,F,49,2021,1/19/21,140491,captive,140492,captive,2/18/20,48,8.3362,YI22,YP02
YH39,F,50,2021,2/3/21,140501,captive,140502,captive,2/18/20,50.14285714,8.49315,YK08,YB48
YH19,F,50,2021,1/26/21,140501,captive,140502,captive,2/18/20,49,8.49315,YK08,YB48
YH21,F,51,2021,1/26/21,140511,captive,140512,captive,2/18/20,49,7.96945,YL06,YJ42
YH38,F,51,2021,2/3/21,140511,captive,140512,captive,2/18/20,50.14285714,7.96945,YL06,YJ42
YH23,F,52,2021,1/26/21,140521,captive,140522,captive,2/18/20,49,8.11255,OF02,YB39
YH22,F,52,2021,1/26/21,140521,captive,140522,captive,2/18/20,49,8.11255,OF02,YB39
YI74,F,53,2021,3/2/21,140531,captive,140532,captive,2/18/20,54,8.85695,YO01,YN24
YI82,F,53,2021,3/2/21,140531,captive,140532,captive,2/18/20,54,8.85695,YO01,YN24
