Year	Effect	Var	lowerCI	upperCI
2010	Heritability	0.09	0.03	0.32
2012	Heritability	0.15	0.04	0.34
2013	Heritability	0.22	0.07	0.45
2014	Heritability	0.17	0.04	0.32
2015	Heritability	0.30	0.08	0.46
2016	Heritability	0.10	0.03	0.25
2017	Heritability	0.09	0.02	0.25
2018	Heritability	0.06	0.03	0.30
2019	Heritability	0.31	0.08	0.63
2020	Heritability	0.09	0.03	0.30
2021	Heritability	0.12	0.03	0.34
2010	PhenotypicVariance	2451	2229	2657
2012	PhenotypicVariance	1320	1230	1463
2013	PhenotypicVariance	863.5	780.4	928.3
2014	PhenotypicVariance	852.3	800.3	936.3
2015	PhenotypicVariance	763.4	711.8	835.5
2016	PhenotypicVariance	898.9	850.3	987.5
2017	PhenotypicVariance	1304	1162	1473
2018	PhenotypicVariance	1121	1055	1251
2019	PhenotypicVariance	832.6	758.0	927.3
2020	PhenotypicVariance	1450	1328	1608
2021	PhenotypicVariance	660.2	606.8	716.9
2010	GeneticVariance	299.8	78.3	806.7
2012	GeneticVariance	195.0	45.1	456.7
2013	GeneticVariance	195.1	60.1	402.2
2014	GeneticVariance	114.9	40.3	288.4
2015	GeneticVariance	215.3	63.7	363.3
2016	GeneticVariance	92.0	30.7	233.7
2017	GeneticVariance	99.8	32.9	490.0
2018	GeneticVariance	78.1	35.8	346.2
2019	GeneticVariance	252.1	49.4	537.7
2020	GeneticVariance	145.3	40.9	429.6
2021	GeneticVariance	97.6	21.7	229.5
