GenerationID,Generation,SireGenID,DamGenID,Sex,Wild,Recovery,Cross_type,DateSpawned,MonthSpawned,YearSpawned,PC,Notes,Domestication_Index,Tank_MF,OffspringDI,Recovery_WithMorts,TagID,TimeToRecovery,DateTagged
100021,1,1049,1050,F,Y,9,WxW,NA,,2008,2,,0,,1,0,NA,NA,NA
100022,1,1051,1052,M,Y,9,WxW,NA,,2008,2,,0,,1,0,NA,NA,NA
100031,1,1053,1054,F,Y,4,WxW,NA,,2008,3,,0,,1,0,NA,NA,NA
100032,1,1055,1056,M,Y,4,WxW,NA,,2008,3,,0,,1,0,NA,NA,NA
100041,1,1057,1058,F,Y,7,WxW,NA,,2008,4,,0,,1,0,NA,NA,NA
100042,1,1059,1060,M,Y,7,WxW,NA,,2008,4,,0,,1,0,NA,NA,NA
100051,1,1061,1062,F,Y,3,WxW,NA,,2008,5,,0,,1,0,NA,NA,NA
100052,1,1063,1064,M,Y,3,WxW,NA,,2008,5,,0,,1,0,NA,NA,NA
100071,1,1065,1066,F,Y,25,WxW,NA,,2008,7,,0,,1,0,NA,NA,NA
100072,1,1067,1068,M,Y,25,WxW,NA,,2008,7,,0,,1,0,NA,NA,NA
100081,1,1069,1070,F,Y,8,WxW,NA,,2008,8,,0,,1,0,NA,NA,NA
100082,1,1071,1072,M,Y,8,WxW,NA,,2008,8,,0,,1,0,NA,NA,NA
100091,1,1073,1074,F,Y,1,WxW,NA,,2008,9,,0,,1,0,NA,NA,NA
100092,1,1075,1076,M,Y,1,WxW,NA,,2008,9,,0,,1,0,NA,NA,NA
100101,1,1077,1078,F,Y,3,WxW,NA,,2008,10,,0,,1,0,NA,NA,NA
100102,1,1079,1080,M,Y,3,WxW,NA,,2008,10,,0,,1,0,NA,NA,NA
100121,1,1081,1082,F,Y,4,WxW,NA,,2008,12,,0,,1,0,NA,NA,NA
100122,1,1083,1084,M,Y,4,WxW,NA,,2008,12,,0,,1,0,NA,NA,NA
100141,1,1085,1086,F,Y,3,WxW,NA,,2008,14,,0,,1,0,NA,NA,NA
100142,1,1087,1088,M,Y,3,WxW,NA,,2008,14,,0,,1,0,NA,NA,NA
100151,1,1089,1090,F,Y,4,WxW,NA,,2008,15,,0,,1,0,NA,NA,NA
100152,1,1091,1092,M,Y,4,WxW,NA,,2008,15,,0,,1,0,NA,NA,NA
100161,1,1093,1094,F,Y,22,WxW,NA,,2008,16,,0,,1,0,NA,NA,NA
100162,1,1095,1096,M,Y,22,WxW,NA,,2008,16,,0,,1,0,NA,NA,NA
100171,1,1097,1098,F,Y,5,WxW,NA,,2008,17,,0,,1,0,NA,NA,NA
100172,1,1099,1100,M,Y,5,WxW,NA,,2008,17,,0,,1,0,NA,NA,NA
100181,1,1101,1102,F,Y,22,WxW,NA,,2008,18,,0,,1,0,NA,NA,NA
100182,1,1103,1104,M,Y,22,WxW,NA,,2008,18,,0,,1,0,NA,NA,NA
100191,1,1105,1106,F,Y,5,WxW,NA,,2008,19,,0,,1,0,NA,NA,NA
100192,1,1107,1108,M,Y,5,WxW,NA,,2008,19,,0,,1,0,NA,NA,NA
100201,1,1109,1110,F,Y,12,WxW,NA,,2008,20,,0,,1,0,NA,NA,NA
100202,1,1111,1112,M,Y,12,WxW,NA,,2008,20,,0,,1,0,NA,NA,NA
100211,1,1113,1114,F,Y,0,WxW,NA,,2008,21,,0,,1,0,NA,NA,NA
100212,1,1115,1116,M,Y,0,WxW,NA,,2008,21,,0,,1,0,NA,NA,NA
100221,1,1117,1118,F,Y,1,WxW,NA,,2008,22,,0,,1,0,NA,NA,NA
100222,1,1119,1120,M,Y,1,WxW,NA,,2008,22,,0,,1,0,NA,NA,NA
100231,1,1121,1122,F,Y,17,WxW,NA,,2008,23,,0,,1,0,NA,NA,NA
100232,1,1123,1124,M,Y,17,WxW,NA,,2008,23,,0,,1,0,NA,NA,NA
100251,1,1125,1126,F,Y,0,WxW,NA,,2008,25,,0,,1,0,NA,NA,NA
100252,1,1127,1128,M,Y,0,WxW,NA,,2008,25,,0,,1,0,NA,NA,NA
100261,1,1129,1130,F,Y,12,WxW,NA,,2008,26,,0,,1,0,NA,NA,NA
100262,1,1131,1132,M,Y,12,WxW,NA,,2008,26,,0,,1,0,NA,NA,NA
100281,1,1133,1134,F,Y,6,WxW,NA,,2008,28,,0,,1,0,NA,NA,NA
100282,1,1135,1136,M,Y,6,WxW,NA,,2008,28,,0,,1,0,NA,NA,NA
100291,1,1137,1138,F,Y,4,WxW,NA,,2008,29,,0,,1,0,NA,NA,NA
100292,1,1139,1140,M,Y,4,WxW,NA,,2008,29,,0,,1,0,NA,NA,NA
100301,1,1141,1142,F,Y,15,WxW,NA,,2008,30,,0,,1,0,NA,NA,NA
