DateChecked,ID,Sex,PC,BY,BirthDate,Notes,DamGenID,DamSource,SireGenID,SireSource,TimeToRipen,Domestication_Index,DamID,SireID
2/2/21,YI02,F,55,2020,2/21/20,,140551,captive,140552,captive,49.57142857,8.6294,YC27,YL17
2/2/21,YD37,F,27,2020,2/7/20,,140271,captive,140272,captive,51.57142857,9.6255,YH34,YF04
2/2/21,YC22,F,24,2020,2/7/20,,140241,captive,140242,captive,51.57142857,9.0198,YF29,YI12
2/2/21,YC26,F,24,2020,2/7/20,,140241,captive,140242,captive,51.57142857,9.0198,YF29,YI12
2/2/21,YC20,F,23,2020,2/7/20,assinged via Colony - uncertain,140231,captive,140232,captive,51.57142857,7.2744,YC24,YI23
2/2/21,YC27,F,23,2020,2/7/20,assinged via Colony - uncertain,140231,captive,140232,captive,51.57142857,7.2744,YC24,YI23
2/2/21,YC15,F,22,2020,2/4/20,,140221,captive,140222,captive,52,7.27125,YH41,YJ14
2/2/21,YC25,F,18,2020,2/4/20,,140181,captive,140182,captive,52,8.646,YL29,YA39
2/2/21,YB37,F,16,2020,2/4/20,,140161,captive,140162,captive,52,6.8867,YG31,YJ44
2/2/21,YB39,F,12,2020,1/31/20,,140121,captive,140122,captive,52.57142857,7.6609,YO06,YS01
2/2/21,YB15,F,10,2020,1/31/20,,140101,captive,140102,captive,52.57142857,7.83175,YK02,YB27
2/2/21,YB35,F,10,2020,1/31/20,,140101,captive,140102,captive,52.57142857,7.83175,YK02,YB27
2/2/21,YA03,F,8,2020,1/28/20,,140081,captive,140082,captive,53,9.36405,YB01,YB18
2/2/21,YA31,F,8,2020,1/28/20,,140081,captive,140082,captive,53,9.36405,YB01,YB18
2/2/21,YB34,F,7,2020,1/28/20,,140071,captive,140072,captive,53,8.51905,YS03,YA00
2/2/21,YA33,F,3,2020,1/28/20,,140031,captive,140032,captive,53,8.0542,YL14,YB13
2/2/21,YA36,F,3,2020,1/28/20,,140031,captive,140032,captive,53,8.0542,YL14,YB13
2/2/21,YA05,F,2,2020,1/28/20,,140021,captive,140022,captive,53,9.15845,YJ23,YA08
2/5/21,YI25,F,55,2020,2/21/20,,140551,captive,140552,captive,50,8.6294,YC27,YL17
2/5/21,YD34,F,27,2020,2/7/20,,140271,captive,140272,captive,52,9.6255,YH34,YF04
2/5/21,YD38,F,25,2020,2/7/20,,140251,captive,140252,captive,52,8.91995,YF32,YI17
2/5/21,YC26,F,24,2020,2/7/20,,140241,captive,140242,captive,52,9.0198,YF29,YI12
2/5/21,YC29,F,20,2020,2/4/20,,140201,captive,140202,captive,52.42857143,7.4883,YD37,YG44
2/5/21,YB31,F,16,2020,2/4/20,,140161,captive,140162,captive,52.42857143,6.8867,YG31,YJ44
2/5/21,YA03,F,8,2020,1/28/20,,140081,captive,140082,captive,53.42857143,9.36405,YB01,YB18
2/5/21,YA36,F,3,2020,1/28/20,,140031,captive,140032,captive,53.42857143,8.0542,YL14,YB13
2/9/21,OA22,F,164,2020,4/3/20,,141641,captive,141642,captive,44.57142857,7.55615,YJ54,YN27
2/9/21,OA23,F,146,2020,3/31/20,,141461,captive,141462,captive,45,8.7998,YR45,YF49
2/9/21,YS07,F,117,2020,3/17/20,,141171,captive,141172,captive,47,8.199,YX18,OC13
2/9/21,YS09,F,117,2020,3/17/20,,141171,captive,141172,captive,47,8.199,YX18,OC13
2/9/21,YK21,F,69,2020,2/28/20,,140691,captive,140692,captive,49.57142857,9.15745,YT05,YF12
2/9/21,YH15,F,51,2020,2/18/20,,140511,captive,140512,captive,51,7.96945,YL06,YJ42
2/9/21,YH21,F,51,2020,2/18/20,,140511,captive,140512,captive,51,7.96945,YL06,YJ42
2/9/21,YF28,F,34,2020,2/14/20,,140341,captive,140342,captive,51.57142857,7.4873,YD19,OG00
2/9/21,YF26,F,33,2020,2/14/20,,140331,captive,140332,captive,51.57142857,7.26245,YD20,YJ59
2/9/21,YD42,F,26,2020,2/7/20,,140261,captive,140262,captive,52.57142857,8.60595,YG30,YD07
2/9/21,YC11,F,21,2020,2/4/20,,140211,captive,140212,captive,53,9.04465,YH38,YC07
2/9/21,YB52,F,16,2020,2/4/20,,140161,captive,140162,captive,53,6.8867,YG31,YJ44
2/9/21,YB17,F,12,2020,1/31/20,,140121,captive,140122,captive,53.57142857,7.6609,YO06,YS01
2/9/21,YB38,F,10,2020,1/31/20,,140101,captive,140102,captive,53.57142857,7.83175,YK02,YB27
2/9/21,YB58,F,10,2020,1/31/20,,140101,captive,140102,captive,53.57142857,7.83175,YK02,YB27
2/9/21,YA32,F,9,2020,1/28/20,,140091,captive,140092,captive,54,9.5444,YN01,YC08
2/9/21,YA00,F,8,2020,1/28/20,,140081,captive,140082,captive,54,9.36405,YB01,YB18
2/9/21,YA41,F,8,2020,1/28/20,,140081,captive,140082,captive,54,9.36405,YB01,YB18
2/9/21,YA43,F,8,2020,1/28/20,,140081,captive,140082,captive,54,9.36405,YB01,YB18
2/9/21,YA39,F,4,2020,1/28/20,,140041,captive,140042,captive,54,7.90235,YL16,YA06
2/9/21,YA40,F,3,2020,1/28/20,,140031,captive,140032,captive,54,8.0542,YL14,YB13
2/9/21,YA44,F,3,2020,1/28/20,,140031,captive,140032,captive,54,8.0542,YL14,YB13
2/9/21,YA46,F,3,2020,1/28/20,,140031,captive,140032,captive,54,8.0542,YL14,YB13
2/9/21,YA07,F,2,2020,1/28/20,,140021,captive,140022,captive,54,9.15845,YJ23,YA08
2/9/21,YA30,F,1,2020,1/28/20,,140011,captive,140012,captive,54,8.7112,YC26,YR07
2/12/21,YS01,F,115,2020,3/17/20,,141151,captive,141152,captive,47.42857143,8.0437,YT06,OC04
2/12/21,YD43,F,25,2020,2/7/20,,140251,captive,140252,captive,53,8.91995,YF32,YI17
2/12/21,YC28,F,24,2020,2/7/20,,140241,captive,140242,captive,53,9.0198,YF29,YI12
2/12/21,YB40,F,16,2020,2/4/20,,140161,captive,140162,captive,53.42857143,6.8867,YG31,YJ44
2/12/21,YB33,F,11,2020,1/31/20,,140111,captive,140112,captive,54,8.25905,YN04,YC15
2/12/21,YA01,F,6,2020,1/28/20,,140061,captive,140062,captive,54.42857143,8.32445,YR00,YT00
2/12/21,YA42,F,6,2020,1/28/20,,140061,captive,140062,captive,54.42857143,8.32445,YR00,YT00
2/12/21,YA06,F,4,2020,1/28/20,,140041,captive,140042,captive,54.42857143,7.90235,YL16,YA06
2/12/21,YA37,F,3,2020,1/28/20,,140031,captive,140032,captive,54.42857143,8.0542,YL14,YB13
2/16/21,YK38,F,67,2020,2/28/20,,140671,captive,140672,captive,50.57142857,9.0469,YO12,YB47
2/16/21,YI43,F,58,2020,2/25/20,,140581,captive,140582,captive,51,8.9009,YA33,YG52
2/16/21,YH14,F,49,2020,2/18/20,,140491,captive,140492,captive,52,8.3362,YI22,YP02
